Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris
Métro,DANUBE,566268,7bis,,,,,Paris,19
Métro,NATIONALE,2970029,6,,,,,Paris,13
Métro,DUGOMMIER,2836152,6,,,,,Paris,12
Métro,VILLEJUIF-PAUL VAILLANT-COUTURIER,2470026,7,,,,,Villejuif,
RER,BOISSY-SAINT-LEGER,2810996,A,,,,,Boissy-Saint-Léger,
RER,LES BACONNETS,1888141,B,,,,,Antony,
Métro,GARE DU NORD,45793828,4,5,,,,Paris,10
Métro,LA DEFENSE,15954978,1,,,,,Puteaux,
Métro,MARX DORMOY,3616802,12,,,,,Paris,18
Métro,LES GOBELINS,3595435,7,,,,,Paris,13
Métro,SAINT-SEBASTIEN-FROISSART,1731645,8,,,,,Paris,3
Métro,MONTGALLET,1690677,8,,,,,Paris,12
RER,NEUILLY-PLAISANCE,5904235,A,,,,,Neuilly-sur-Seine,
Métro,CRETEIL-PREFECTURE,5028020,8,,,,,Créteil,
Métro,MICHEL-ANGE-AUTEUIL,2175029,9,10,,,,Paris,16
Métro,PORTE DOREE,2850341,8,,,,,Paris,12
Métro,TUILERIES,2682811,1,,,,,Paris,1
Métro,GAMBETTA,7137504,3,3bis,,,,Paris,20
Métro,COUR SAINT-EMILION,6068940,14,,,,,Paris,12
Métro,CRIMEE,5921134,7,,,,,Paris,19
RER,BAGNEUX,2388018,B,,,,,Cachan,
Métro,PONT DE NEUILLY,7127658,1,,,,,Neuilly Sur Seine,
Métro,CAMBRONNE,3286006,6,,,,,Paris,15
Métro,CADET,3338778,7,,,,,Paris,9
Métro,BILLANCOURT,3348058,9,,,,,Boulogne Billancourt,
Métro,VAVIN,2182742,4,,,,,Paris,14
Métro,MAIRIE D'ISSY,4473140,12,,,,,Issy Les Moulineaux,
Métro,SAINT-DENIS-UNIVERSITE,4993498,13,,,,,Saint Denis,
Métro,CHARDON-LAGACHE,718908,10,,,,,Paris,16
Métro,PORTE D'AUTEUIL,652631,10,,,,,Paris,16
Métro,CHATEAU-LANDON,1779651,7,,,,,Paris,10
Métro,PORTE MAILLOT,8181976,1,,,,,Paris,16
RER,LE VESINET-CENTRE,1361720,A,,,,,Le Vésinet,
RER,LE VESINET-LE PECQ,2157155,A,,,,,Le Vésinet,
Métro,QUATRE-SEPTEMBRE,2038075,3,,,,,Paris,2
Métro,BEL AIR,2406187,6,,,,,Paris,12
